seed,dimension,side,performance,finalPopulation
14003,forage_weight,minus,1.1738888888888888,73
14003,forage_weight,plus,1.2722222222222221,76
14003,hazard_avoidance,minus,1.2577777777777779,77
14003,hazard_avoidance,plus,1.142777777777778,60
14003,exploration,minus,1.2405555555555554,75
14003,exploration,plus,1.2166666666666666,72
14003,reproduction_threshold,minus,1.2283333333333333,72
14003,reproduction_threshold,plus,1.165,68
14011,forage_weight,minus,1.2505555555555556,66
14011,forage_weight,plus,1.2538888888888888,79
14011,hazard_avoidance,minus,1.26,82
14011,hazard_avoidance,plus,1.2477777777777779,71
14011,exploration,minus,1.2672222222222222,73
14011,exploration,plus,1.2555555555555555,72
14011,reproduction_threshold,minus,1.2555555555555555,80
14011,reproduction_threshold,plus,1.208888888888889,77
14029,forage_weight,minus,1.238888888888889,71
14029,forage_weight,plus,1.333888888888889,79
14029,hazard_avoidance,minus,1.3111111111111111,82
14029,hazard_avoidance,plus,1.215,65
14029,exploration,minus,1.3255555555555556,73
14029,exploration,plus,1.277222222222222,77
14029,reproduction_threshold,minus,1.28,70
14029,reproduction_threshold,plus,1.2244444444444444,76
14041,forage_weight,minus,1.2633333333333332,79
14041,forage_weight,plus,1.266111111111111,82
14041,hazard_avoidance,minus,1.2905555555555557,83
14041,hazard_avoidance,plus,1.233888888888889,74
14041,exploration,minus,1.267777777777778,76
14041,exploration,plus,1.24,75
14041,reproduction_threshold,minus,1.3155555555555556,78
14041,reproduction_threshold,plus,1.2244444444444444,84
14057,forage_weight,minus,1.1583333333333334,64
14057,forage_weight,plus,1.2183333333333333,75
14057,hazard_avoidance,minus,1.2444444444444445,72
14057,hazard_avoidance,plus,1.1716666666666666,70
14057,exploration,minus,1.2155555555555555,72
14057,exploration,plus,1.2122222222222223,72
14057,reproduction_threshold,minus,1.2077777777777776,67
14057,reproduction_threshold,plus,1.1827777777777777,68
14071,forage_weight,minus,1.1938888888888888,62
14071,forage_weight,plus,1.2427777777777778,67
14071,hazard_avoidance,minus,1.2277777777777779,68
14071,hazard_avoidance,plus,1.2233333333333334,63
14071,exploration,minus,1.1749999999999998,70
14071,exploration,plus,1.2033333333333334,66
14071,reproduction_threshold,minus,1.2644444444444445,63
14071,reproduction_threshold,plus,1.1838888888888888,67
14087,forage_weight,minus,1.2594444444444446,72
14087,forage_weight,plus,1.2422222222222221,80
14087,hazard_avoidance,minus,1.251111111111111,80
14087,hazard_avoidance,plus,1.278888888888889,74
14087,exploration,minus,1.2994444444444444,76
14087,exploration,plus,1.255,71
14087,reproduction_threshold,minus,1.3422222222222222,69
14087,reproduction_threshold,plus,1.258888888888889,79
14101,forage_weight,minus,1.3055555555555556,84
14101,forage_weight,plus,1.2566666666666668,81
14101,hazard_avoidance,minus,1.2994444444444444,85
14101,hazard_avoidance,plus,1.2522222222222221,79
14101,exploration,minus,1.32,87
14101,exploration,plus,1.3122222222222222,89
14101,reproduction_threshold,minus,1.3344444444444443,83
14101,reproduction_threshold,plus,1.2627777777777778,82
14119,forage_weight,minus,1.27,70
14119,forage_weight,plus,1.3377777777777777,86
14119,hazard_avoidance,minus,1.2966666666666666,86
14119,hazard_avoidance,plus,1.2805555555555557,73
14119,exploration,minus,1.3366666666666667,78
14119,exploration,plus,1.2566666666666668,73
14119,reproduction_threshold,minus,1.2616666666666667,71
14119,reproduction_threshold,plus,1.268888888888889,80
14137,forage_weight,minus,1.3044444444444445,78
14137,forage_weight,plus,1.2927777777777778,77
14137,hazard_avoidance,minus,1.27,75
14137,hazard_avoidance,plus,1.3261111111111112,75
14137,exploration,minus,1.3327777777777776,79
14137,exploration,plus,1.2944444444444445,77
14137,reproduction_threshold,minus,1.3038888888888889,79
14137,reproduction_threshold,plus,1.2344444444444445,80
14153,forage_weight,minus,1.2922222222222224,80
14153,forage_weight,plus,1.3361111111111112,85
14153,hazard_avoidance,minus,1.3144444444444445,86
14153,hazard_avoidance,plus,1.3355555555555556,84
14153,exploration,minus,1.3366666666666667,89
14153,exploration,plus,1.3316666666666666,79
14153,reproduction_threshold,minus,1.3794444444444443,88
14153,reproduction_threshold,plus,1.3305555555555555,90
14173,forage_weight,minus,1.2116666666666667,61
14173,forage_weight,plus,1.2066666666666666,74
14173,hazard_avoidance,minus,1.3016666666666667,80
14173,hazard_avoidance,plus,1.2261111111111112,65
14173,exploration,minus,1.2216666666666667,71
14173,exploration,plus,1.3005555555555555,74
14173,reproduction_threshold,minus,1.275,69
14173,reproduction_threshold,plus,1.231111111111111,78
