seed,dimension,side,performance,finalPopulation
14003,forage_weight,minus,0.8711111111111111,21
14003,forage_weight,plus,0.8422222222222222,20
14003,hazard_avoidance,minus,0.8344444444444444,22
14003,hazard_avoidance,plus,0.8111111111111111,16
14003,exploration,minus,0.8188888888888889,20
14003,exploration,plus,0.8377777777777777,15
14003,reproduction_threshold,minus,0.8544444444444445,18
14003,reproduction_threshold,plus,0.795,23
14011,forage_weight,minus,0.8638888888888889,20
14011,forage_weight,plus,0.8894444444444445,21
14011,hazard_avoidance,minus,0.8944444444444445,24
14011,hazard_avoidance,plus,0.8505555555555556,19
14011,exploration,minus,0.8572222222222222,20
14011,exploration,plus,0.8655555555555555,14
14011,reproduction_threshold,minus,0.88,22
14011,reproduction_threshold,plus,0.8677777777777778,25
14029,forage_weight,minus,0.8516666666666667,20
14029,forage_weight,plus,0.8761111111111111,22
14029,hazard_avoidance,minus,0.8733333333333334,21
14029,hazard_avoidance,plus,0.8355555555555555,18
14029,exploration,minus,0.8827777777777778,22
14029,exploration,plus,0.8538888888888888,17
14029,reproduction_threshold,minus,0.883888888888889,17
14029,reproduction_threshold,plus,0.8811111111111111,23
14041,forage_weight,minus,0.8477777777777777,19
14041,forage_weight,plus,0.8638888888888889,27
14041,hazard_avoidance,minus,0.8616666666666667,29
14041,hazard_avoidance,plus,0.8705555555555555,20
14041,exploration,minus,0.8533333333333333,26
14041,exploration,plus,0.8483333333333333,22
14041,reproduction_threshold,minus,0.8633333333333333,20
14041,reproduction_threshold,plus,0.8488888888888888,23
14057,forage_weight,minus,0.7822222222222223,17
14057,forage_weight,plus,0.8094444444444444,21
14057,hazard_avoidance,minus,0.8022222222222222,18
14057,hazard_avoidance,plus,0.7638888888888888,15
14057,exploration,minus,0.8105555555555556,22
14057,exploration,plus,0.7805555555555556,14
14057,reproduction_threshold,minus,0.8138888888888889,14
14057,reproduction_threshold,plus,0.81,19
14071,forage_weight,minus,0.8072222222222222,13
14071,forage_weight,plus,0.8172222222222223,21
14071,hazard_avoidance,minus,0.8205555555555555,20
14071,hazard_avoidance,plus,0.75,12
14071,exploration,minus,0.8111111111111111,18
14071,exploration,plus,0.8072222222222222,15
14071,reproduction_threshold,minus,0.8044444444444445,15
14071,reproduction_threshold,plus,0.81,17
14087,forage_weight,minus,0.855,26
14087,forage_weight,plus,0.8616666666666667,22
14087,hazard_avoidance,minus,0.8516666666666667,24
14087,hazard_avoidance,plus,0.8538888888888888,24
14087,exploration,minus,0.8772222222222221,21
14087,exploration,plus,0.8577777777777778,18
14087,reproduction_threshold,minus,0.8783333333333334,16
14087,reproduction_threshold,plus,0.8672222222222222,20
14101,forage_weight,minus,0.8761111111111111,20
14101,forage_weight,plus,0.8688888888888889,20
14101,hazard_avoidance,minus,0.8872222222222222,21
14101,hazard_avoidance,plus,0.8527777777777777,20
14101,exploration,minus,0.8672222222222222,24
14101,exploration,plus,0.9077777777777778,28
14101,reproduction_threshold,minus,0.8961111111111111,26
14101,reproduction_threshold,plus,0.8733333333333334,27
14119,forage_weight,minus,0.875,20
14119,forage_weight,plus,0.9016666666666667,26
14119,hazard_avoidance,minus,0.8988888888888888,23
14119,hazard_avoidance,plus,0.8788888888888889,21
14119,exploration,minus,0.8761111111111111,21
14119,exploration,plus,0.8933333333333332,26
14119,reproduction_threshold,minus,0.895,20
14119,reproduction_threshold,plus,0.8916666666666667,26
14137,forage_weight,minus,0.88,21
14137,forage_weight,plus,0.8505555555555556,23
14137,hazard_avoidance,minus,0.855,24
14137,hazard_avoidance,plus,0.8722222222222222,23
14137,exploration,minus,0.8744444444444445,23
14137,exploration,plus,0.8683333333333334,23
14137,reproduction_threshold,minus,0.8777777777777778,26
14137,reproduction_threshold,plus,0.8694444444444445,21
14153,forage_weight,minus,0.883888888888889,20
14153,forage_weight,plus,0.9038888888888889,26
14153,hazard_avoidance,minus,0.9138888888888889,24
14153,hazard_avoidance,plus,0.8972222222222221,21
14153,exploration,minus,0.9233333333333333,22
14153,exploration,plus,0.9038888888888889,23
14153,reproduction_threshold,minus,0.9183333333333334,17
14153,reproduction_threshold,plus,0.8994444444444445,28
14173,forage_weight,minus,0.8594444444444445,17
14173,forage_weight,plus,0.8772222222222221,20
14173,hazard_avoidance,minus,0.875,19
14173,hazard_avoidance,plus,0.87,18
14173,exploration,minus,0.865,16
14173,exploration,plus,0.8683333333333334,23
14173,reproduction_threshold,minus,0.8888888888888888,15
14173,reproduction_threshold,plus,0.8622222222222222,25
