stepStart,stepEnd,totalVector,withinVector,reweightingVector,totalNorm,withinNorm,reweightingNorm,decompositionError,lineageTurnoverTV,lineageCountStart,lineageCountEnd,condition,seed
179,180,"[0.0034778899172661637,0.002423245034572974,-0.0013285842458267694,0.0013126326688545076]","[0.0006385712771051321,0.0001204435488138516,0.00035036585325168664,5.875265613269566e-05]","[0.0028393186401610496,0.0023028014857590802,-0.001678950099078437,0.0012538800127217544]",0.004632059519890414,0.0007405997772899903,0.004213752905033567,7.588981514137946e-17,0.017532467532467535,27,27,scarcity_mutable,14003
180,185,"[0.0007780667366360516,-0.0019380058898576524,0.0001183289519047781,-0.001120680892744197]","[0.0,0.0,0.0,0.0]","[0.0007780667366360652,-0.00193800588985768,0.00011832895190475535,-0.0011206808927441722]",0.002373011184129405,0.0,0.002373011184129419,4.5507119979992e-17,0.01785714285714286,27,26,scarcity_mutable,14003
185,190,"[0.0025828572275967687,-0.0036544685013144007,0.0002649640249939855,0.001812333736941396]","[-0.0017517846103485301,0.00013107421498782129,0.00024354971543678357,-0.0009757654423987135]","[0.004334641837945251,-0.0037855427163021086,2.141430955713544e-05,0.0027880991793402666]",0.0048353956398463375,0.0020241947617157595,0.006394795471843099,2.1047283239887516e-16,0.0482517482517483,26,25,scarcity_mutable,14003
190,195,"[-0.0027554953263220217,-0.002547686439073771,0.0019501663253749246,-0.0013165236440998984]","[0.0006880170640855451,0.0001297697215863138,0.0003774953468042744,6.330198590029849e-05]","[-0.0034435123904076274,-0.0026774561606601435,0.0015726709785706284,-0.0013798256300002081]",0.00442942929589392,0.0007979458248473285,0.004837743466864648,8.815810473304541e-17,0.018853695324283527,25,25,scarcity_mutable,14003
195,200,"[-0.0016058295939692657,-0.0049806234154245455,0.002653515707242926,-0.002533895636101513]","[0.0,0.0,0.0,0.0]","[-0.0016058295939692271,-0.00498062341542454,0.002653515707242881,-0.002533895636101537]",0.006391171331953321,0.0,0.0063911713319532975,6.418769882039771e-17,0.039215686274509776,25,23,scarcity_mutable,14003
200,205,"[-0.0021959102104113226,0.0007894260217055638,-0.0020185231725393105,-0.00019384785785692138]","[-6.518888141715968e-05,0.0005822671951323049,0.0001320700973016353,0.0002258360991943679]","[-0.0021307213289942376,0.00020715882657325695,-0.0021505932698409357,-0.0004196839570512969]",0.003091476651376887,0.0006416612276647654,0.0030633436303081543,7.566667565318012e-17,0.018282312925170074,23,23,scarcity_mutable,14003
205,210,"[-0.008316140068461264,-0.005106613393195902,0.0015328959777106133,-0.004874509194080945]","[-0.0026001404922341475,-0.001380354883052539,-0.003044079918572767,0.00041196150273717315]","[-0.005715999576227053,-0.003726258510143379,0.0045769758962834585,-0.005286470696818193]",0.011015729478681641,0.004254673314476457,0.009770011997091968,1.2622125048941915e-16,0.09205426356589151,23,22,scarcity_mutable,14003
210,215,"[-0.0031268469091632056,-0.0028086173832659878,-0.0034055479759262375,0.00016344751086017073]","[0.0015313048740656704,2.1840637378782587e-05,-0.0009681983888139142,0.0005246672753667944]","[-0.004658151783228884,-0.002830458020644744,-0.0024373495871123215,-0.0003612197645065782]",0.00541202136951334,0.00188628086474975,0.005981724113522571,5.3220551544522986e-17,0.04310833806012479,22,22,scarcity_mutable,14003
215,220,"[-0.002274629033349629,-0.0006154227346193974,-0.005129705640903148,-0.0008556004956551955]","[0.0007578921994316215,-0.0003648073688261949,-0.00017737119483463384,9.721924030272214e-05]","[-0.0030325212327811718,-0.0002506153657931459,-0.0049523344460685615,-0.0009528197359579091]",0.0057095196428528444,0.0008650994877765772,0.0058900318338518665,1.0784231520531934e-16,0.07124518613607189,22,20,scarcity_mutable,14003
220,225,"[0.005199964782746536,0.00573164765599421,-0.0030962352704976825,-0.0034284677522307683]","[0.004717313498975357,-0.0013665863675772836,0.0002230361881894747,-0.00292106574667982]","[0.00048265128377151384,0.0070982340235714,-0.0033192714586871303,-0.0005074020055509578]",0.009012906444240298,0.005718651518088108,0.007867203971348718,3.4882826242443e-16,0.09569377990430623,20,19,scarcity_mutable,14003
