condition,seed,step,population,lineageCount,dominantFounderId,dominantFraction,lineageHHI
scarcity_mutable,14003,179,55,27,26,0.10909090909090909,0.053223140495867766
scarcity_mutable,14003,180,56,27,26,0.10714285714285714,0.052295918367346934
scarcity_mutable,14003,185,55,26,26,0.10909090909090909,0.05388429752066115
scarcity_mutable,14003,190,52,25,26,0.11538461538461539,0.054733727810650896
scarcity_mutable,14003,195,51,25,26,0.11764705882352941,0.05574778931180315
scarcity_mutable,14003,200,49,23,26,0.12244897959183673,0.059558517284464804
scarcity_mutable,14003,205,48,23,26,0.10416666666666667,0.05729166666666667
scarcity_mutable,14003,210,43,22,26,0.11627906976744186,0.06327744726879395
scarcity_mutable,14003,215,41,22,26,0.12195121951219512,0.06484235574063058
scarcity_mutable,14003,220,38,20,26,0.13157894736842105,0.07202216066481994
scarcity_mutable,14003,225,33,19,33,0.15151515151515152,0.0743801652892562
scarcity_mutable,14003,230,28,16,33,0.17857142857142858,0.08673469387755102
scarcity_mutable,14003,235,26,16,33,0.15384615384615385,0.07988165680473373
scarcity_mutable,14003,240,23,16,33,0.17391304347826086,0.08128544423440454
scarcity_mutable,14003,245,20,15,33,0.2,0.09000000000000002
scarcity_mutable,14003,250,19,15,33,0.21052631578947367,0.09141274238227146
scarcity_mutable,14003,255,17,13,33,0.23529411764705882,0.10726643598615918
scarcity_mutable,14003,260,16,12,33,0.25,0.1171875
scarcity_mutable,14003,265,16,12,33,0.25,0.1171875
scarcity_mutable,14003,270,16,12,33,0.25,0.1171875
scarcity_mutable,14003,275,15,11,33,0.26666666666666666,0.1288888888888889
scarcity_mutable,14003,280,13,10,33,0.23076923076923078,0.12426035502958582
scarcity_mutable,14003,285,12,9,33,0.25,0.1388888888888889
scarcity_mutable,14003,290,11,9,33,0.2727272727272727,0.14049586776859502
scarcity_mutable,14003,295,10,9,33,0.2,0.12000000000000002
scarcity_mutable,14003,300,10,9,33,0.2,0.12000000000000002
scarcity_mutable,14003,305,9,8,33,0.2222222222222222,0.13580246913580246
scarcity_mutable,14003,310,7,7,17,0.14285714285714285,0.14285714285714285
scarcity_mutable,14003,315,7,7,17,0.14285714285714285,0.14285714285714285
scarcity_mutable,14003,320,5,5,17,0.2,0.20000000000000004
scarcity_mutable,14003,325,5,5,17,0.2,0.20000000000000004
scarcity_mutable,14003,330,3,3,26,0.3333333333333333,0.3333333333333333
scarcity_mutable,14003,335,3,3,26,0.3333333333333333,0.3333333333333333
scarcity_mutable,14003,339,3,3,26,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,179,55,27,26,0.10909090909090909,0.053223140495867766
neutral_bottleneck_mutable,14003,180,3,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,185,3,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,190,4,3,47,0.5,0.375
neutral_bottleneck_mutable,14003,195,5,3,4,0.4,0.3600000000000001
neutral_bottleneck_mutable,14003,200,6,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,205,6,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,210,7,3,47,0.42857142857142855,0.346938775510204
neutral_bottleneck_mutable,14003,215,8,3,4,0.375,0.34375
neutral_bottleneck_mutable,14003,220,8,3,4,0.375,0.34375
neutral_bottleneck_mutable,14003,225,9,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,230,9,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,235,9,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,240,9,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,245,9,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,250,9,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,255,10,3,4,0.4,0.34
neutral_bottleneck_mutable,14003,260,11,3,4,0.36363636363636365,0.33884297520661155
neutral_bottleneck_mutable,14003,265,11,3,4,0.36363636363636365,0.33884297520661155
neutral_bottleneck_mutable,14003,270,11,3,4,0.36363636363636365,0.33884297520661155
neutral_bottleneck_mutable,14003,275,12,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,280,12,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,285,10,3,47,0.4,0.34
neutral_bottleneck_mutable,14003,290,10,3,47,0.4,0.34
neutral_bottleneck_mutable,14003,295,11,3,4,0.36363636363636365,0.33884297520661155
neutral_bottleneck_mutable,14003,300,11,3,4,0.36363636363636365,0.33884297520661155
neutral_bottleneck_mutable,14003,305,11,3,4,0.36363636363636365,0.33884297520661155
neutral_bottleneck_mutable,14003,310,11,3,4,0.36363636363636365,0.33884297520661155
neutral_bottleneck_mutable,14003,315,12,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,320,12,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,325,12,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,330,12,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,335,12,3,4,0.3333333333333333,0.3333333333333333
neutral_bottleneck_mutable,14003,339,12,3,4,0.3333333333333333,0.3333333333333333
scarcity_mutable,14011,179,54,31,46,0.12962962962962962,0.05349794238683127
scarcity_mutable,14011,180,54,31,46,0.12962962962962962,0.05349794238683127
scarcity_mutable,14011,185,52,30,46,0.1346153846153846,0.05621301775147929
scarcity_mutable,14011,190,52,30,46,0.1346153846153846,0.05621301775147929
scarcity_mutable,14011,195,49,29,46,0.12244897959183673,0.05622657226155768
scarcity_mutable,14011,200,47,28,20,0.10638297872340426,0.05568130375735627
scarcity_mutable,14011,205,46,28,20,0.10869565217391304,0.053875236294896024
scarcity_mutable,14011,210,45,28,20,0.1111111111111111,0.054814814814814816
scarcity_mutable,14011,215,41,24,20,0.12195121951219512,0.06365258774538965
scarcity_mutable,14011,220,38,22,20,0.13157894736842105,0.0706371191135734
scarcity_mutable,14011,225,38,22,20,0.13157894736842105,0.0706371191135734
scarcity_mutable,14011,230,37,22,20,0.13513513513513514,0.0693937180423667
scarcity_mutable,14011,235,35,20,20,0.14285714285714285,0.07591836734693877
scarcity_mutable,14011,240,32,19,20,0.125,0.076171875
scarcity_mutable,14011,245,30,19,20,0.13333333333333333,0.07555555555555556
scarcity_mutable,14011,250,28,18,20,0.14285714285714285,0.07653061224489795
scarcity_mutable,14011,255,26,17,20,0.15384615384615385,0.07988165680473373
scarcity_mutable,14011,260,25,16,20,0.16,0.0848
scarcity_mutable,14011,265,24,15,20,0.16666666666666666,0.09027777777777778
scarcity_mutable,14011,270,23,14,20,0.17391304347826086,0.09640831758034026
scarcity_mutable,14011,275,19,11,20,0.21052631578947367,0.1191135734072022
scarcity_mutable,14011,280,13,7,36,0.23076923076923078,0.15976331360946747
scarcity_mutable,14011,285,11,6,36,0.2727272727272727,0.19008264462809915
scarcity_mutable,14011,290,8,5,20,0.25,0.21875
scarcity_mutable,14011,295,7,5,20,0.2857142857142857,0.22448979591836732
scarcity_mutable,14011,300,6,5,20,0.3333333333333333,0.2222222222222222
scarcity_mutable,14011,305,6,5,20,0.3333333333333333,0.2222222222222222
scarcity_mutable,14011,310,6,5,20,0.3333333333333333,0.2222222222222222
scarcity_mutable,14011,315,6,5,20,0.3333333333333333,0.2222222222222222
scarcity_mutable,14011,320,6,5,20,0.3333333333333333,0.2222222222222222
scarcity_mutable,14011,325,6,5,20,0.3333333333333333,0.2222222222222222
scarcity_mutable,14011,330,6,5,20,0.3333333333333333,0.2222222222222222
scarcity_mutable,14011,335,5,5,20,0.2,0.20000000000000004
scarcity_mutable,14011,339,5,5,20,0.2,0.20000000000000004
neutral_bottleneck_mutable,14011,179,54,31,46,0.12962962962962962,0.05349794238683127
neutral_bottleneck_mutable,14011,180,5,5,8,0.2,0.20000000000000004
neutral_bottleneck_mutable,14011,185,5,5,8,0.2,0.20000000000000004
neutral_bottleneck_mutable,14011,190,6,5,34,0.3333333333333333,0.2222222222222222
neutral_bottleneck_mutable,14011,195,6,5,34,0.3333333333333333,0.2222222222222222
neutral_bottleneck_mutable,14011,200,8,5,8,0.25,0.21875
neutral_bottleneck_mutable,14011,205,8,5,8,0.25,0.21875
neutral_bottleneck_mutable,14011,210,8,5,8,0.25,0.21875
neutral_bottleneck_mutable,14011,215,9,5,8,0.3333333333333333,0.2345679012345679
neutral_bottleneck_mutable,14011,220,9,5,8,0.3333333333333333,0.2345679012345679
neutral_bottleneck_mutable,14011,225,11,5,8,0.2727272727272727,0.23966942148760328
neutral_bottleneck_mutable,14011,230,11,5,8,0.2727272727272727,0.23966942148760328
neutral_bottleneck_mutable,14011,235,13,5,34,0.3076923076923077,0.2307692307692308
neutral_bottleneck_mutable,14011,240,14,5,8,0.2857142857142857,0.2346938775510204
neutral_bottleneck_mutable,14011,245,14,5,8,0.2857142857142857,0.2346938775510204
neutral_bottleneck_mutable,14011,250,14,5,8,0.2857142857142857,0.2346938775510204
neutral_bottleneck_mutable,14011,255,14,5,8,0.2857142857142857,0.2346938775510204
neutral_bottleneck_mutable,14011,260,14,5,8,0.2857142857142857,0.2346938775510204
neutral_bottleneck_mutable,14011,265,14,5,8,0.2857142857142857,0.2346938775510204
neutral_bottleneck_mutable,14011,270,14,5,8,0.2857142857142857,0.2346938775510204
