cadenceSteps,condition,seed,founderId,stepStart,stepEnd,deltaP,midpointCell,fluxMagnitude,sourceCell,targetCell
5,scarcity_mutable,14003,1,179,180,-0.0006493506493506496,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,3,179,180,-0.0003246753246753248,2.2.1.2,0.0,2.2.1.2,2.2.1.2
5,scarcity_mutable,14003,4,179,180,-0.0006493506493506496,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,13,179,180,-0.0006493506493506496,1.1.1.2,0.0,1.1.1.2,1.1.1.2
5,scarcity_mutable,14003,17,179,180,-0.0009740259740259744,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,20,179,180,-0.0003246753246753248,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,21,179,180,-0.0003246753246753248,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,23,179,180,-0.0012987012987012991,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,24,179,180,0.01753246753246753,2.2.1.1,0.0007405997772899903,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,25,179,180,-0.0009740259740259744,1.1.0.1,0.0,1.1.0.1,1.1.0.1
5,scarcity_mutable,14003,26,179,180,-0.0019480519480519487,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,33,179,180,-0.001623376623376624,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,39,179,180,-0.0003246753246753248,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,41,179,180,-0.0006493506493506496,1.1.1.0,0.0,1.1.1.0,1.1.1.0
5,scarcity_mutable,14003,45,179,180,-0.0003246753246753248,1.1.2.1,0.0,1.1.2.1,1.1.2.1
5,scarcity_mutable,14003,46,179,180,-0.0006493506493506496,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,47,179,180,-0.0009740259740259744,1.0.1.1,0.0,1.0.1.1,1.0.1.1
5,scarcity_mutable,14003,49,179,180,-0.0003246753246753248,1.2.1.1,0.0,1.2.1.1,1.2.1.1
5,scarcity_mutable,14003,51,179,180,-0.0003246753246753248,1.2.2.1,0.0,1.2.2.1,1.2.2.1
5,scarcity_mutable,14003,52,179,180,-0.0003246753246753248,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,54,179,180,-0.0012987012987012991,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,58,179,180,-0.0006493506493506496,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,60,179,180,-0.0006493506493506496,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,63,179,180,-0.0003246753246753248,1.2.1.1,0.0,1.2.1.1,1.2.1.1
5,scarcity_mutable,14003,64,179,180,-0.0003246753246753248,1.2.1.1,0.0,1.2.1.1,1.2.1.1
5,scarcity_mutable,14003,68,179,180,-0.0003246753246753248,2.1.1.2,0.0,2.1.1.2,2.1.1.2
5,scarcity_mutable,14003,69,179,180,-0.0003246753246753248,2.1.2.1,0.0,2.1.2.1,2.1.2.1
5,scarcity_mutable,14003,1,180,185,0.0006493506493506496,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,3,180,185,0.0003246753246753248,2.2.1.2,0.0,2.2.1.2,2.2.1.2
5,scarcity_mutable,14003,4,180,185,0.0006493506493506496,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,13,180,185,0.0006493506493506496,1.1.1.2,0.0,1.1.1.2,1.1.1.2
5,scarcity_mutable,14003,17,180,185,0.0009740259740259744,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,20,180,185,0.0003246753246753248,1.1.1.1,0.0,1.1.1.1,1.1.1.1
5,scarcity_mutable,14003,21,180,185,0.0003246753246753248,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,23,180,185,0.0012987012987012991,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,24,180,185,0.0006493506493506496,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,25,180,185,0.0009740259740259744,1.1.0.1,0.0,1.1.0.1,1.1.0.1
5,scarcity_mutable,14003,26,180,185,0.0019480519480519487,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,33,180,185,0.001623376623376624,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,39,180,185,0.0003246753246753248,2.2.1.1,0.0,2.2.1.1,2.2.1.1
5,scarcity_mutable,14003,41,180,185,0.0006493506493506496,1.1.1.0,0.0,1.1.1.0,1.1.1.0
5,scarcity_mutable,14003,45,180,185,0.0003246753246753248,1.1.2.1,0.0,1.1.2.1,1.1.2.1
5,scarcity_mutable,14003,46,180,185,0.0006493506493506496,2.1.1.1,0.0,2.1.1.1,2.1.1.1
5,scarcity_mutable,14003,47,180,185,0.0009740259740259744,1.0.1.1,0.0,1.0.1.1,1.0.1.1
