substrate,observerId,featureCount,features,geometryStabilitySpearman,localEdgeStabilitySpearman,top10LocalEdgeJaccard,global_geometryRank,local_geometryRank,boundary_recoveryRank
ECA,ECA-OBSSET-10000,1,OBS-SHANNON,0.9898741577217822,0.9902415989583861,0.9433962264150944,2,1,2
ECA,ECA-OBSSET-01000,1,OBS-HAMMING,0.8026759441913527,0.817897698207084,0.6220472440944882,31,30,12
ECA,ECA-OBSSET-00100,1,OBS-PERTURB-GROWTH,0.8213326596257771,0.801437143041248,0.6612903225806451,30,31,8
ECA,ECA-OBSSET-00010,1,OBS-AUTOCORR-TIME,0.8918357072010753,0.8792732542722851,0.46099290780141844,27,28,25
ECA,ECA-OBSSET-00001,1,OBS-COMPRESSION,0.9851621065368109,0.9874270993458398,0.9619047619047619,3,3,1
ECA,ECA-OBSSET-11000,2,OBS-SHANNON|OBS-HAMMING,0.9608197883719399,0.9510368562435235,0.8899082568807339,9,11,4
ECA,ECA-OBSSET-10100,2,OBS-SHANNON|OBS-PERTURB-GROWTH,0.9528949838989551,0.9480358358354599,0.5968992248062015,12,12,15
ECA,ECA-OBSSET-10010,2,OBS-SHANNON|OBS-AUTOCORR-TIME,0.9411355308920992,0.9220139380137743,0.5373134328358209,13,13,20
ECA,ECA-OBSSET-10001,2,OBS-SHANNON|OBS-COMPRESSION,0.9922359879134881,0.9879680250543903,0.8899082568807339,1,2,3
ECA,ECA-OBSSET-01100,2,OBS-HAMMING|OBS-PERTURB-GROWTH,0.8405185532453159,0.823841194895425,0.6612903225806451,29,29,9
ECA,ECA-OBSSET-01010,2,OBS-HAMMING|OBS-AUTOCORR-TIME,0.9048453879381729,0.897937726092569,0.4507042253521127,24,23,26
ECA,ECA-OBSSET-01001,2,OBS-HAMMING|OBS-COMPRESSION,0.9616832069759988,0.9601470144203578,0.6220472440944882,8,9,13
ECA,ECA-OBSSET-00110,2,OBS-PERTURB-GROWTH|OBS-AUTOCORR-TIME,0.890907256473221,0.8843487279072039,0.31210191082802546,28,27,30
ECA,ECA-OBSSET-00101,2,OBS-PERTURB-GROWTH|OBS-COMPRESSION,0.9530338126559937,0.9632391094898434,0.5846153846153846,11,7,16
ECA,ECA-OBSSET-00011,2,OBS-AUTOCORR-TIME|OBS-COMPRESSION,0.9248387926356576,0.9123295227660745,0.35526315789473684,15,15,29
ECA,ECA-OBSSET-11100,3,OBS-SHANNON|OBS-HAMMING|OBS-PERTURB-GROWTH,0.9549061844230261,0.9525574619279389,0.609375,10,10,14
ECA,ECA-OBSSET-11010,3,OBS-SHANNON|OBS-HAMMING|OBS-AUTOCORR-TIME,0.9199643962045763,0.890543257941415,0.5036496350364964,18,25,24
ECA,ECA-OBSSET-11001,3,OBS-SHANNON|OBS-HAMMING|OBS-COMPRESSION,0.9705447924831442,0.9615753480849114,0.7310924369747899,4,8,6
ECA,ECA-OBSSET-10110,3,OBS-SHANNON|OBS-PERTURB-GROWTH|OBS-AUTOCORR-TIME,0.9119618870870652,0.8861954799219414,0.4305555555555556,23,26,27
ECA,ECA-OBSSET-10101,3,OBS-SHANNON|OBS-PERTURB-GROWTH|OBS-COMPRESSION,0.9629169655783182,0.9649521662477246,0.7166666666666667,7,4,7
ECA,ECA-OBSSET-10011,3,OBS-SHANNON|OBS-AUTOCORR-TIME|OBS-COMPRESSION,0.9388195085347522,0.9196730167079608,0.5606060606060606,14,14,18
ECA,ECA-OBSSET-01110,3,OBS-HAMMING|OBS-PERTURB-GROWTH|OBS-AUTOCORR-TIME,0.9136538531451973,0.9121880777925039,0.5036496350364964,22,16,23
ECA,ECA-OBSSET-01101,3,OBS-HAMMING|OBS-PERTURB-GROWTH|OBS-COMPRESSION,0.9666920914032686,0.9636357024305382,0.6612903225806451,5,5,10
ECA,ECA-OBSSET-01011,3,OBS-HAMMING|OBS-AUTOCORR-TIME|OBS-COMPRESSION,0.9032272427742445,0.8968401056390207,0.5259259259259259,25,24,21
ECA,ECA-OBSSET-00111,3,OBS-PERTURB-GROWTH|OBS-AUTOCORR-TIME|OBS-COMPRESSION,0.8933568023018151,0.8982653463878401,0.29559748427672955,26,22,31
ECA,ECA-OBSSET-11110,4,OBS-SHANNON|OBS-HAMMING|OBS-PERTURB-GROWTH|OBS-AUTOCORR-TIME,0.9186587455274374,0.9024981692222802,0.6349206349206349,19,20,11
ECA,ECA-OBSSET-11101,4,OBS-SHANNON|OBS-HAMMING|OBS-PERTURB-GROWTH|OBS-COMPRESSION,0.9646731771617423,0.963360734742258,0.7457627118644068,6,6,5
ECA,ECA-OBSSET-11011,4,OBS-SHANNON|OBS-HAMMING|OBS-AUTOCORR-TIME|OBS-COMPRESSION,0.9209660957076249,0.9023404811854302,0.5606060606060606,17,21,19
ECA,ECA-OBSSET-10111,4,OBS-SHANNON|OBS-PERTURB-GROWTH|OBS-AUTOCORR-TIME|OBS-COMPRESSION,0.913839087300937,0.905132725177793,0.4305555555555556,21,19,28
ECA,ECA-OBSSET-01111,4,OBS-HAMMING|OBS-PERTURB-GROWTH|OBS-AUTOCORR-TIME|OBS-COMPRESSION,0.9178366554299516,0.911600853155646,0.5259259259259259,20,18,22
ECA,ECA-OBSSET-11111,5,OBS-SHANNON|OBS-HAMMING|OBS-PERTURB-GROWTH|OBS-AUTOCORR-TIME|OBS-COMPRESSION,0.9217703331485984,0.9121150722441135,0.5846153846153846,16,17,17
