substrate,observerId,featureCount,features,geometryStabilitySpearman,localEdgeStabilitySpearman,top10LocalEdgeJaccard,global_geometryRank,local_geometryRank,boundary_recoveryRank
Network,NETWORK-OBSSET-100000,1,OBS-NETWORK-ACTIVITY,0.9919666480487416,0.9867007762567962,0.7142857142857143,22,22,40
Network,NETWORK-OBSSET-010000,1,OBS-SHANNON,0.9922018109197395,0.9878681076728911,1.0,21,20,8
Network,NETWORK-OBSSET-001000,1,OBS-NETWORK-ORDER,0.9910020236507155,0.9813644040689338,1.0,27,35,4
Network,NETWORK-OBSSET-000100,1,OBS-SWITCH-RATE,0.9905545575908767,0.9894801367713078,0.5,30,13,58
Network,NETWORK-OBSSET-000010,1,OBS-TRANSITION-RATE,0.8901571041229143,0.8855570717552025,0.7142857142857143,63,63,31
Network,NETWORK-OBSSET-000001,1,OBS-METASTABLE-DWELL,0.8954376497408936,0.9010756319905211,0.7142857142857143,62,62,30
Network,NETWORK-OBSSET-110000,2,OBS-NETWORK-ACTIVITY|OBS-SHANNON,0.9861178278081668,0.9915368635520465,1.0,40,6,24
Network,NETWORK-OBSSET-101000,2,OBS-NETWORK-ACTIVITY|OBS-NETWORK-ORDER,0.9934329912904742,0.9904807065565321,1.0,11,10,22
Network,NETWORK-OBSSET-100100,2,OBS-NETWORK-ACTIVITY|OBS-SWITCH-RATE,0.9904831812969844,0.982642909905609,1.0,31,29,20
Network,NETWORK-OBSSET-100010,2,OBS-NETWORK-ACTIVITY|OBS-TRANSITION-RATE,0.9895537692408919,0.9802156289450535,0.7142857142857143,35,38,41
Network,NETWORK-OBSSET-100001,2,OBS-NETWORK-ACTIVITY|OBS-METASTABLE-DWELL,0.9825895202698844,0.9327553643391416,1.0,48,60,19
Network,NETWORK-OBSSET-011000,2,OBS-SHANNON|OBS-NETWORK-ORDER,0.993073968363635,0.9888686774581154,1.0,15,15,13
Network,NETWORK-OBSSET-010100,2,OBS-SHANNON|OBS-SWITCH-RATE,0.9948559549734793,0.9934268287019145,1.0,8,3,11
Network,NETWORK-OBSSET-010010,2,OBS-SHANNON|OBS-TRANSITION-RATE,0.9923097317173506,0.9879126390714221,0.5,19,19,59
Network,NETWORK-OBSSET-010001,2,OBS-SHANNON|OBS-METASTABLE-DWELL,0.9743298650555459,0.961987330595242,1.0,56,54,9
Network,NETWORK-OBSSET-001100,2,OBS-NETWORK-ORDER|OBS-SWITCH-RATE,0.9957355326050521,0.9934268287019145,1.0,2,2,6
Network,NETWORK-OBSSET-001010,2,OBS-NETWORK-ORDER|OBS-TRANSITION-RATE,0.9931382042315019,0.9862176296212111,1.0,13,23,5
Network,NETWORK-OBSSET-001001,2,OBS-NETWORK-ORDER|OBS-METASTABLE-DWELL,0.9686855654336968,0.9436200970445933,0.7142857142857143,60,59,33
Network,NETWORK-OBSSET-000110,2,OBS-SWITCH-RATE|OBS-TRANSITION-RATE,0.9946234833116219,0.9817717031944277,1.0,9,32,2
Network,NETWORK-OBSSET-000101,2,OBS-SWITCH-RATE|OBS-METASTABLE-DWELL,0.970741012976122,0.9553184409550669,0.7142857142857143,59,57,32
Network,NETWORK-OBSSET-000011,2,OBS-TRANSITION-RATE|OBS-METASTABLE-DWELL,0.9134522370061658,0.9180389563041033,1.0,61,61,1
Network,NETWORK-OBSSET-111000,3,OBS-NETWORK-ACTIVITY|OBS-SHANNON|OBS-NETWORK-ORDER,0.995156187182569,0.9936491775430754,1.0,4,1,26
Network,NETWORK-OBSSET-110100,3,OBS-NETWORK-ACTIVITY|OBS-SHANNON|OBS-SWITCH-RATE,0.9908250807137995,0.9913145147108854,0.7142857142857143,28,7,52
Network,NETWORK-OBSSET-110010,3,OBS-NETWORK-ACTIVITY|OBS-SHANNON|OBS-TRANSITION-RATE,0.9917047156202093,0.9905524078873249,0.7142857142857143,23,9,51
Network,NETWORK-OBSSET-110001,3,OBS-NETWORK-ACTIVITY|OBS-SHANNON|OBS-METASTABLE-DWELL,0.9879467665790986,0.9745748597910722,0.7142857142857143,39,41,50
Network,NETWORK-OBSSET-101100,3,OBS-NETWORK-ACTIVITY|OBS-NETWORK-ORDER|OBS-SWITCH-RATE,0.9939872222315886,0.9917592123932073,0.7142857142857143,10,5,47
Network,NETWORK-OBSSET-101010,3,OBS-NETWORK-ACTIVITY|OBS-NETWORK-ORDER|OBS-TRANSITION-RATE,0.9884333479213749,0.9848838516931759,0.7142857142857143,36,25,45
Network,NETWORK-OBSSET-101001,3,OBS-NETWORK-ACTIVITY|OBS-NETWORK-ORDER|OBS-METASTABLE-DWELL,0.9832484741228557,0.9701845074446237,0.5,46,49,61
