observer_id,bit_mask,dimension,epsilon,split_geometry_spearman,equivalent_pair_count,component_count,largest_component_size,observable_ids
OBSERVER-ECA-SUBSET-00001,1,1,0.0018656008372421383,0.9967618996070594,1433,90,54,OBS-SHANNON
OBSERVER-ECA-SUBSET-00010,2,1,0.0019455252918287856,0.8763899755766646,2276,71,142,OBS-HAMMING
OBSERVER-ECA-SUBSET-00011,3,2,0.004674026736455955,0.9874568960308914,968,93,39,OBS-SHANNON;OBS-HAMMING
OBSERVER-ECA-SUBSET-00100,4,1,0.000010962509442567571,0.8775836769731749,4758,78,144,OBS-PERTURB-GROWTH
OBSERVER-ECA-SUBSET-00101,5,2,0.0013193419470563716,0.9966762958777315,1086,95,54,OBS-SHANNON;OBS-PERTURB-GROWTH
OBSERVER-ECA-SUBSET-00110,6,2,0.0013756948568701072,0.8776932260728127,2323,71,142,OBS-HAMMING;OBS-PERTURB-GROWTH
OBSERVER-ECA-SUBSET-00111,7,3,0.003816416251086786,0.9874557410165605,968,93,39,OBS-SHANNON;OBS-HAMMING;OBS-PERTURB-GROWTH
OBSERVER-ECA-SUBSET-01000,8,1,0,0.8955539821352655,7845,65,124,OBS-AUTOCORR-TIME
OBSERVER-ECA-SUBSET-01001,9,2,0.0027625741755838654,0.9886017267145475,942,89,62,OBS-SHANNON;OBS-AUTOCORR-TIME
OBSERVER-ECA-SUBSET-01010,10,2,0.0022055460830217137,0.9562387314232379,1341,92,84,OBS-HAMMING;OBS-AUTOCORR-TIME
OBSERVER-ECA-SUBSET-01011,11,3,0.0039317412842921244,0.9887125747879206,430,117,25,OBS-SHANNON;OBS-HAMMING;OBS-AUTOCORR-TIME
OBSERVER-ECA-SUBSET-01100,12,2,0.000059123667572727684,0.897842869965715,3046,104,84,OBS-PERTURB-GROWTH;OBS-AUTOCORR-TIME
OBSERVER-ECA-SUBSET-01101,13,3,0.0022556496409327277,0.9885824113349327,877,90,62,OBS-SHANNON;OBS-PERTURB-GROWTH;OBS-AUTOCORR-TIME
OBSERVER-ECA-SUBSET-01110,14,3,0.0018008225451100358,0.9563090861108674,1338,93,84,OBS-HAMMING;OBS-PERTURB-GROWTH;OBS-AUTOCORR-TIME
OBSERVER-ECA-SUBSET-01111,15,4,0.0034051352482283295,0.9887128038967299,430,117,25,OBS-SHANNON;OBS-HAMMING;OBS-PERTURB-GROWTH;OBS-AUTOCORR-TIME
OBSERVER-ECA-SUBSET-10000,16,1,0.004875212791828676,0.9957953122230214,1714,59,36,OBS-COMPRESSION
OBSERVER-ECA-SUBSET-10001,17,2,0.005039835163416962,0.9983701813470993,911,89,38,OBS-SHANNON;OBS-COMPRESSION
OBSERVER-ECA-SUBSET-10010,18,2,0.005820935261190015,0.9873092208064854,1250,91,31,OBS-HAMMING;OBS-COMPRESSION
OBSERVER-ECA-SUBSET-10011,19,3,0.005855045466550366,0.9929712688653057,606,111,24,OBS-SHANNON;OBS-HAMMING;OBS-COMPRESSION
OBSERVER-ECA-SUBSET-10100,20,2,0.0034472967712605843,0.9960212176564722,1705,59,36,OBS-PERTURB-GROWTH;OBS-COMPRESSION
OBSERVER-ECA-SUBSET-10101,21,3,0.004115021706561731,0.9983787003067363,911,89,38,OBS-SHANNON;OBS-PERTURB-GROWTH;OBS-COMPRESSION
OBSERVER-ECA-SUBSET-10110,22,3,0.004752793005360899,0.9873086877965589,1250,91,31,OBS-HAMMING;OBS-PERTURB-GROWTH;OBS-COMPRESSION
OBSERVER-ECA-SUBSET-10111,23,4,0.005071093687861721,0.9929709870389227,606,111,24,OBS-SHANNON;OBS-HAMMING;OBS-PERTURB-GROWTH;OBS-COMPRESSION
OBSERVER-ECA-SUBSET-11000,24,2,0.0042262903062092565,0.9947898414092693,833,89,26,OBS-AUTOCORR-TIME;OBS-COMPRESSION
OBSERVER-ECA-SUBSET-11001,25,3,0.0045859177070698325,0.9979057315642423,531,104,24,OBS-SHANNON;OBS-AUTOCORR-TIME;OBS-COMPRESSION
OBSERVER-ECA-SUBSET-11010,26,3,0.004997004754994872,0.9878772006949179,609,111,23,OBS-HAMMING;OBS-AUTOCORR-TIME;OBS-COMPRESSION
OBSERVER-ECA-SUBSET-11011,27,4,0.005133230964120601,0.9929636593516079,298,126,10,OBS-SHANNON;OBS-HAMMING;OBS-AUTOCORR-TIME;OBS-COMPRESSION
OBSERVER-ECA-SUBSET-11100,28,3,0.0034507519574263823,0.9948166073210565,831,89,26,OBS-PERTURB-GROWTH;OBS-AUTOCORR-TIME;OBS-COMPRESSION
OBSERVER-ECA-SUBSET-11101,29,4,0.00397152810778559,0.9979062248331069,531,104,24,OBS-SHANNON;OBS-PERTURB-GROWTH;OBS-AUTOCORR-TIME;OBS-COMPRESSION
OBSERVER-ECA-SUBSET-11110,30,4,0.00432753635977798,0.9878766722847189,609,111,23,OBS-HAMMING;OBS-PERTURB-GROWTH;OBS-AUTOCORR-TIME;OBS-COMPRESSION
OBSERVER-ECA-SUBSET-11111,31,5,0.004591301547189862,0.9929634696476568,298,126,10,OBS-SHANNON;OBS-HAMMING;OBS-PERTURB-GROWTH;OBS-AUTOCORR-TIME;OBS-COMPRESSION
