observerId,featureCount,features,activeFeatureCount,geometryStabilitySpearman,localEdgeStabilitySpearman,top10LocalEdgeJaccard,global_geometryRank,local_geometryRank,boundary_recoveryRank
OBSSET-100000,1,OBS-POLARIZATION,1,0.7034201618952746,0.7076745234036717,0.5714285714285714,42,50,5
OBSSET-010000,1,OBS-HEADING-ENTROPY,1,0.48366822026081824,0.5981994161327612,0.4666666666666667,57,60,16
OBSSET-001000,1,OBS-SPATIAL,1,0.8853918613885345,0.7564411528439036,0.375,5,28,19
OBSSET-000100,1,OBS-SPEED-VARIANCE,1,0.8848382773096654,0.8145927623973823,0.4666666666666667,6,11,14
OBSSET-000010,1,OBS-TRANSITION-RATE,1,0.0,0.0,0.4666666666666667,62,62,12
OBSSET-000001,1,OBS-METASTABLE-DWELL,1,0.0,0.0,0.4666666666666667,61,61,11
OBSSET-110000,2,OBS-POLARIZATION|OBS-HEADING-ENTROPY,2,0.5926156253480921,0.7093301201042341,0.5714285714285714,53,49,8
OBSSET-101000,2,OBS-POLARIZATION|OBS-SPATIAL,2,0.8214244270618458,0.7684221869550735,0.5714285714285714,21,22,7
OBSSET-100100,2,OBS-POLARIZATION|OBS-SPEED-VARIANCE,2,0.8427088650198813,0.7717333803561983,0.5714285714285714,14,21,6
OBSSET-100010,2,OBS-POLARIZATION|OBS-TRANSITION-RATE,2,0.646979711877201,0.6561257077920806,0.375,47,54,28
OBSSET-100001,2,OBS-POLARIZATION|OBS-METASTABLE-DWELL,2,0.6462302114202079,0.6559801325497555,0.375,49,55,27
OBSSET-011000,2,OBS-HEADING-ENTROPY|OBS-SPATIAL,2,0.6828557979473744,0.742961264915065,0.375,43,35,26
OBSSET-010100,2,OBS-HEADING-ENTROPY|OBS-SPEED-VARIANCE,2,0.7495714793442106,0.7410607574599816,0.5714285714285714,36,36,4
OBSSET-010010,2,OBS-HEADING-ENTROPY|OBS-TRANSITION-RATE,2,0.4687567551985286,0.5994533591959089,0.29411764705882354,60,57,38
OBSSET-010001,2,OBS-HEADING-ENTROPY|OBS-METASTABLE-DWELL,2,0.4688852834065023,0.599400452628271,0.29411764705882354,58,59,37
OBSSET-001100,2,OBS-SPATIAL|OBS-SPEED-VARIANCE,2,0.913980741636277,0.8440016458002704,0.4666666666666667,1,4,15
OBSSET-001010,2,OBS-SPATIAL|OBS-TRANSITION-RATE,2,0.8328449993206951,0.748231744352358,0.375,15,33,21
OBSSET-001001,2,OBS-SPATIAL|OBS-METASTABLE-DWELL,2,0.8323888339639883,0.7480492382883378,0.375,17,34,20
OBSSET-000110,2,OBS-SPEED-VARIANCE|OBS-TRANSITION-RATE,2,0.8790316834978754,0.844648210192206,0.5714285714285714,8,1,2
OBSSET-000101,2,OBS-SPEED-VARIANCE|OBS-METASTABLE-DWELL,2,0.8787163084474203,0.8442133521348928,0.5714285714285714,10,2,1
OBSSET-000011,2,OBS-TRANSITION-RATE|OBS-METASTABLE-DWELL,2,0.0,0.0,0.4666666666666667,63,63,13
OBSSET-111000,3,OBS-POLARIZATION|OBS-HEADING-ENTROPY|OBS-SPATIAL,3,0.7069562775541911,0.7570681243754777,0.5714285714285714,41,27,10
OBSSET-110100,3,OBS-POLARIZATION|OBS-HEADING-ENTROPY|OBS-SPEED-VARIANCE,3,0.7453651304489325,0.7584592174611572,0.5714285714285714,37,26,9
OBSSET-110010,3,OBS-POLARIZATION|OBS-HEADING-ENTROPY|OBS-TRANSITION-RATE,3,0.5585584713068487,0.6904132134250278,0.375,54,51,35
OBSSET-110001,3,OBS-POLARIZATION|OBS-HEADING-ENTROPY|OBS-METASTABLE-DWELL,3,0.5584828030530978,0.6903186304606337,0.375,55,53,34
OBSSET-101100,3,OBS-POLARIZATION|OBS-SPATIAL|OBS-SPEED-VARIANCE,3,0.8846674632930034,0.8288171790199651,0.375,7,8,33
