subset,featureCount,activeFeatureCount,geometryStabilitySpearman,localEdgeStabilitySpearman,top10LocalEdgeJaccard
OBS-POLARIZATION,1,1,0.9228617923587012,0.8545067967933077,0.5238095238095238
OBS-HEADING-ENTROPY,1,1,0.7873416063313259,0.6768490763332171,0.5238095238095238
OBS-POLARIZATION|OBS-HEADING-ENTROPY,2,2,0.8714849808466393,0.771129313349599,0.6
OBS-SPATIAL,1,1,0.8667446906321183,0.7821924015336355,0.3333333333333333
OBS-POLARIZATION|OBS-SPATIAL,2,2,0.9276189280219472,0.859923318229348,0.6
OBS-HEADING-ENTROPY|OBS-SPATIAL,2,2,0.8941811427210518,0.7876089229696757,0.45454545454545453
OBS-POLARIZATION|OBS-HEADING-ENTROPY|OBS-SPATIAL,3,3,0.9147556027504112,0.8109794353433252,0.45454545454545453
OBS-SPEED-VARIANCE,1,1,0.8427472728780833,0.8670338096897874,0.6
OBS-POLARIZATION|OBS-SPEED-VARIANCE,2,2,0.8955095609421234,0.9038828860230045,0.7777777777777778
OBS-HEADING-ENTROPY|OBS-SPEED-VARIANCE,2,2,0.8665743699044016,0.8347751829905891,0.6842105263157895
OBS-POLARIZATION|OBS-HEADING-ENTROPY|OBS-SPEED-VARIANCE,3,3,0.8937493873318183,0.8601603346113628,0.6842105263157895
OBS-SPATIAL|OBS-SPEED-VARIANCE,2,2,0.9194820834426011,0.8913942140118506,0.5238095238095238
OBS-POLARIZATION|OBS-SPATIAL|OBS-SPEED-VARIANCE,3,3,0.9427767433778567,0.9115894039735098,0.7777777777777778
OBS-HEADING-ENTROPY|OBS-SPATIAL|OBS-SPEED-VARIANCE,3,3,0.9322381393148836,0.8797769257581037,0.6
OBS-POLARIZATION|OBS-HEADING-ENTROPY|OBS-SPATIAL|OBS-SPEED-VARIANCE,4,4,0.9388382827229781,0.8819972115719762,0.6842105263157895
OBS-TRANSITION-RATE,1,1,-0.025447087013192475,0.277640907713899,0.5238095238095238
OBS-POLARIZATION|OBS-TRANSITION-RATE,2,2,0.7723455088756828,0.7893203206692225,0.391304347826087
OBS-HEADING-ENTROPY|OBS-TRANSITION-RATE,2,2,0.6840519366746061,0.6766225165562914,0.3333333333333333
OBS-POLARIZATION|OBS-HEADING-ENTROPY|OBS-TRANSITION-RATE,3,3,0.7493605805762525,0.7440013942140118,0.3333333333333333
OBS-SPATIAL|OBS-TRANSITION-RATE,2,2,0.7045989671549961,0.776681770651795,0.28
OBS-POLARIZATION|OBS-SPATIAL|OBS-TRANSITION-RATE,3,3,0.7984499062063409,0.8410770303241546,0.28
OBS-HEADING-ENTROPY|OBS-SPATIAL|OBS-TRANSITION-RATE,3,3,0.8042207004151503,0.7905437434646219,0.3333333333333333
