featureA,featureB,geometryInteraction,localInteraction,jaccardInteraction,containsRegimeCoordinate
OBS-POLARIZATION,OBS-HEADING-ENTROPY,-0.2887952739360198,-0.22576542867765978,-0.07219476006661361,False
OBS-POLARIZATION,OBS-SPATIAL,-0.28128525263345094,-0.2354030472427964,-0.003411691283544826,False
OBS-POLARIZATION,OBS-SPEED-VARIANCE,-0.2981495397817649,-0.2495479572205707,-0.04978850287774771,False
OBS-POLARIZATION,OBS-TRANSITION-RATE,-0.026615099786813277,-0.07219980534843774,-0.16457525015877422,True
OBS-POLARIZATION,OBS-METASTABLE-DWELL,-0.026934348260011325,-0.07276550400888347,-0.16457525015877422,True
OBS-HEADING-ENTROPY,OBS-SPATIAL,-0.2236963462898435,-0.17495440666719475,0.007383676582761251,False
OBS-HEADING-ENTROPY,OBS-SPEED-VARIANCE,-0.24868107925115646,-0.19576141758503945,-0.05725292590281144,False
OBS-HEADING-ENTROPY,OBS-TRANSITION-RATE,-0.008358220615845515,-0.05291912457824931,-0.1346201692197116,True
OBS-HEADING-ENTROPY,OBS-METASTABLE-DWELL,-0.008029646361995334,-0.052900446069982565,-0.1346201692197116,True
OBS-SPATIAL,OBS-SPEED-VARIANCE,-0.26479002939069657,-0.24127936060805807,-0.006381302399609028,False
OBS-SPATIAL,OBS-TRANSITION-RATE,-0.028243916716726637,-0.05351798633574913,-0.09920942012475194,True
OBS-SPATIAL,OBS-METASTABLE-DWELL,-0.028646067879236164,-0.0538699045315664,-0.09920942012475194,True
OBS-SPEED-VARIANCE,OBS-TRANSITION-RATE,-0.0005840739121923253,-0.055214203251150354,-0.1770360464181975,True
OBS-SPEED-VARIANCE,OBS-METASTABLE-DWELL,-0.00028691889235356105,-0.054406711959366534,-0.1770360464181975,True
OBS-TRANSITION-RATE,OBS-METASTABLE-DWELL,0.08911262877545953,-0.044273519747418374,0.05163136211191131,True
