substrate,featureId,ruleCount,discoveryScale,medianNormalizedSameRuleShift,meanNormalizedSameRuleShift,q90NormalizedSameRuleShift,ruleProfileStabilitySpearman,singleFeatureGeometryStabilitySpearman
ECA,OBS-AUTOCORR-TIME,256,2.3125,0.0,0.13006756756756757,0.21621621621621623,0.9371018688806472,0.8918357072010753
ECA,OBS-COMPRESSION,256,1.7285365241974708,0.010782696245621243,0.017410008177702347,0.05166461308146597,0.9721283128318817,0.9851621097914953
ECA,OBS-HAMMING,256,0.38545339858949385,0.006151480199923105,0.03875373993237316,0.08535178777393314,0.7750751335992564,0.8026763657199973
ECA,OBS-PERTURB-GROWTH,256,0.002415610390744145,0.005978708055122125,0.04498994377386932,0.10590656712909077,0.719986478998788,0.8213323446027493
ECA,OBS-SHANNON,256,0.6930336166341411,0.003205304917796986,0.009220350254683493,0.02752406238274069,0.9874229980400837,0.9898741565402015
Boids,OBS-POLARIZATION,32,0.00883080795816793,0.06552609476806633,0.09961914464275246,0.22282995117170795,0.9692082111436949,0.8284581388625005
Boids,OBS-HEADING-ENTROPY,32,0.22348603226073716,0.10253523791362441,0.13147526695285294,0.25559898138310494,0.7705278592375364,0.7623420877169174
Boids,OBS-SPATIAL,32,0.5468415313732371,0.1742617119648316,0.17911722601798655,0.2710032852854977,0.9505131964809382,0.855664190421119
Boids,OBS-SPEED-VARIANCE,32,0.009673323491114346,0.028307221738164273,0.0725585350331484,0.19664996756801362,0.9512463343108503,0.8424289628287811
Boids,OBS-TRANSITION-RATE,32,0.0033500837520938024,0.0,0.125,0.45000000000000084,0.3598637460328732,0.3166190024613885
Boids,OBS-METASTABLE-DWELL,32,0.0444444444444444,1.2490009027033025e-15,0.1250000000000012,0.4500000000000012,0.3598637460328732,0.3166190024613885
Network,OBS-NETWORK-ACTIVITY,24,0.9992718855218854,0.0018812800004492166,0.01084777870905821,0.031028484544723123,0.9984761546394317,0.9919666480487416
Network,OBS-SHANNON,24,0.6729156095062215,0.009482915759535372,0.015440356062323001,0.03114384696317114,0.9967343732968423,0.9922018109197395
Network,OBS-NETWORK-ORDER,24,0.4188832641052266,0.00447565009609318,0.014159919525766743,0.03674259730979798,0.9932508106116633,0.9910020236507155
Network,OBS-SWITCH-RATE,24,0.3292803030303028,0.007115133078551956,0.014615491675578338,0.04293365031890286,0.9949925919542527,0.9905545575908767
Network,OBS-TRANSITION-RATE,24,0.12356671740233367,0.006158899609936366,0.026945185793471618,0.0708273455142685,0.9471840516157181,0.8901571041229143
Network,OBS-METASTABLE-DWELL,24,0.8864944291297954,0.036816252679092575,0.05118561611259407,0.10925263449982874,0.9551328746156521,0.8954376497408936
