substrate,featureId,ruleCount,betweenRuleVarianceEstimate,poolErrorVarianceEstimate,iccLikeReliability,robustBetweenRuleRange,withinRulePoolRmse,signalToUncertainty,effectiveSupportCount,effectiveSupportFraction,degeneracyIndex,largestSupportGroupFraction,tiedRuleFraction,observableEntropyAcrossRules,ruleProfileStabilitySpearman,singleFeatureGeometryStabilitySpearman
ECA,OBS-AUTOCORR-TIME,256,1.7220923330269609,0.4950903799019608,0.7767029406214605,3.625,0.7141496801266525,5.075966706807341,28,0.109375,0.890625,0.53515625,0.97265625,0.5393934976270928,0.9371018688806472,0.8918357072010753
ECA,OBS-COMPRESSION,256,0.2069818369733333,0.0006621498834071429,0.9968111290221758,1.73183194765321,0.031031869059171564,55.80817398884202,95,0.37109375,0.62890625,0.2421875,0.7578125,0.9049690374842554,0.9721283128318817,0.9851621097914953
ECA,OBS-HAMMING,256,0.015358913340599793,0.0007860405024649684,0.9513135491060807,0.37431412633754824,0.027986131286060815,13.374986435655886,71,0.27734375,0.72265625,0.18359375,0.8359375,0.3937749273652607,0.7750751335992564,0.8026763657199973
ECA,OBS-PERTURB-GROWTH,256,4.861290953703064e-07,3.705829220688872e-08,0.929168223304273,0.0022914567699647954,0.0001922573559076244,11.918694913633328,71,0.27734375,0.72265625,0.5546875,0.80859375,0.37908590121888935,0.719986478998788,0.8213323446027493
ECA,OBS-SHANNON,256,0.0426108195563966,6.0235512413489544e-05,0.9985883753678845,0.6928291627148107,0.008065757967389656,85.89758898245653,75,0.29296875,0.70703125,0.21875,0.83984375,0.5831491873499789,0.9874229980400837,0.9898741565402015
Boids,OBS-POLARIZATION,32,9.0335782928464e-06,8.122573514170515e-07,0.9175024466419667,0.008987224091136947,0.000899597719337717,9.990269981735095,30,0.9375,0.0625,0.0625,0.125,0.8735944291768821,0.9692082111436949,0.8284581388625005
Boids,OBS-HEADING-ENTROPY,32,0.005801804728077894,0.0008528771641384523,0.8718380265274557,0.22571163756417412,0.02875402114762135,7.84974165545002,30,0.9375,0.0625,0.0625,0.125,0.7303314314554734,0.7705278592375364,0.7623420877169174
Boids,OBS-SPATIAL,32,0.03148268140800206,0.0015498490011929477,0.9530811299650986,0.5406240579513577,0.07738113020765648,6.986510231894566,31,0.96875,0.03125,0.0625,0.0625,0.9006002572050302,0.9505131964809382,0.855664190421119
Boids,OBS-SPEED-VARIANCE,32,9.166230000856014e-06,6.464629750349943e-07,0.9341197185499126,0.009311086058396208,0.0007932165318111962,11.738391328198466,30,0.9375,0.0625,0.09375,0.09375,0.8607247801811286,0.9512463343108503,0.8424289628287811
Boids,OBS-TRANSITION-RATE,32,4.412292184432183e-07,8.145770186644031e-07,0.3513513513513513,0.0020519262981574526,0.0008883251019931501,2.309882151876054,4,0.125,0.875,0.875,0.9375,0.22007232616646533,0.3598637460328732,0.3166190024613885
Boids,OBS-METASTABLE-DWELL,32,7.765830346475527e-05,0.00014336917562724,0.3513513513513521,0.02722222222222226,0.011785113019775787,2.3098821518760593,4,0.125,0.875,0.875,0.9375,0.22007232616646533,0.3598637460328732,0.3166190024613885
Network,OBS-NETWORK-ACTIVITY,24,0.18685428039661298,0.00028112365587971164,0.9984977526978227,0.9993897306397308,0.017757479223199594,56.27993242047887,18,0.75,0.25,0.20833333333333334,0.3333333333333333,0.6711686390638809,0.9984761546394317,0.9919666480487416
Network,OBS-SHANNON,24,0.06047721300198839,0.00014093360837074106,0.9976750590994372,0.666470907155013,0.011642390294543548,57.245195384608316,21,0.875,0.125,0.125,0.20833333333333334,0.6920992694001132,0.9967343732968423,0.9922018109197395
Network,OBS-NETWORK-ORDER,24,0.02645466054648237,6.202724219090945e-05,0.9976608223966266,0.4180583679473867,0.007735479650200949,54.04427221737007,19,0.7916666666666666,0.20833333333333337,0.125,0.375,0.5178244297676984,0.9932508106116633,0.9910020236507155
Network,OBS-SWITCH-RATE,24,0.0138936364064571,3.540691304845058e-05,0.9974580513366005,0.3274368686868685,0.005847845462430967,55.99273626337452,18,0.75,0.25,0.16666666666666666,0.375,0.5949825388578083,0.9949925919542527,0.9905545575908767
Network,OBS-TRANSITION-RATE,24,0.003374968857491039,2.6686725813026317e-05,0.9921547831167831,0.12430238457635708,0.005219833736336123,23.81347584139849,19,0.7916666666666666,0.20833333333333337,0.125,0.375,0.2960195786582884,0.9471840516157181,0.8901571041229143
Network,OBS-METASTABLE-DWELL,24,0.07085325376437439,0.0019454691821941745,0.9732760534326671,0.9046758606823284,0.04329496796643912,20.895635293773733,19,0.7916666666666666,0.20833333333333337,0.125,0.375,0.7779504077988287,0.9551328746156521,0.8954376497408936
